TLD 	Destinado a 	Descrição

APP.BR 	Genéricos 	Aplicativos
ART.BR 	Genéricos 	Artes: música, pintura, folclore
COM.BR 	Genéricos 	Atividades comerciais
DEV.BR 	Genéricos 	Desenvolvedores e Plataformas de Desenvolvimento
ECO.BR 	Genéricos 	Atividades com foco eco-ambiental
EMP.BR 	Genéricos 	Pequenas e micro-empresas
LOG.BR 	Genéricos 	Transportes e Logistica
NET.BR 	Genéricos 	Atividades comerciais
ONG.BR 	Genéricos 	Atividades não governamentais individuais ou associativas
SEG.BR 	Genéricos 	Segurança
TEC.BR 	Genéricos 	Tecnologia
EDU.BR 	Universidades 	Instituições de ensino superior
BLOG.BR Pessoas Físicas 	Web logs
FLOG.BR Pessoas Físicas 	Foto logs
NOM.BR 	Pessoas Físicas 	Pessoas Físicas
VLOG.BR Pessoas Físicas 	Vídeo logs
WIKI.BR Pessoas Físicas 	Páginas do tipo 'wiki'
ADM.BR 	Profissionais Liberais 	Administradores
ADV.BR 	Profissionais Liberais 	Advogados
ARQ.BR 	Profissionais Liberais 	Arquitetos
ATO.BR 	Profissionais Liberais 	Atores
BIB.BR 	Profissionais Liberais 	Bibliotecários / Biblioteconomistas
BIO.BR 	Profissionais Liberais 	Biólogos
BMD.BR 	Profissionais Liberais 	Biomédicos
CIM.BR 	Profissionais Liberais 	Corretores
CNG.BR 	Profissionais Liberais 	Cenógrafos
CNT.BR 	Profissionais Liberais 	Contadores
COZ.BR 	Profissionais Liberais 	Profissionais de Gastronomia
DES.BR 	Profissionais Liberais 	"Designers" e Desenhistas
DET.BR 	Profissionais Liberais 	Detetives / Investigadores Particulares
ECN.BR 	Profissionais Liberais 	Economistas
ENF.BR 	Profissionais Liberais 	Profissionais de Enfermagem
ENG.BR 	Profissionais Liberais 	Engenheiros
ETI.BR 	Profissionais Liberais 	Especialista em Tecnologia da Informação
FND.BR 	Profissionais Liberais 	Fonoaudiólogos
FOT.BR 	Profissionais Liberais 	Fotógrafos
FST.BR 	Profissionais Liberais 	Fisioterapeutas
GEO.BR 	Profissionais Liberais 	Geólogos
GGF.BR 	Profissionais Liberais 	Geógrafos
JOR.BR 	Profissionais Liberais 	Jornalistas
LEL.BR 	Profissionais Liberais 	Leiloeiros
MAT.BR 	Profissionais Liberais 	Matemáticos e Estatísticos
MED.BR 	Profissionais Liberais 	Médicos
MUS.BR 	Profissionais Liberais 	Músicos
NOT.BR 	Profissionais Liberais 	Notários
NTR.BR 	Profissionais Liberais 	Nutricionistas
ODO.BR 	Profissionais Liberais 	Dentistas
PPG.BR 	Profissionais Liberais 	Publicitários e profissionais da área de propaganda e marketing
PRO.BR 	Profissionais Liberais 	Professores
PSC.BR 	Profissionais Liberais 	Psicólogos
QSL.BR 	Profissionais Liberais 	Rádio amadores
REP.BR 	Profissionais Liberais 	Representantes Comerciais
SLG.BR 	Profissionais Liberais 	Sociólogos
TAXI.BR Profissionais Liberais 	Taxistas
TEO.BR 	Profissionais Liberais 	Teólogos
TRD.BR 	Profissionais Liberais 	Tradutores
VET.BR 	Profissionais Liberais 	Veterinários
ZLG.BR 	Profissionais Liberais 	Zoólogos
9GUACU.BR Cidades 	        Nova Iguaçu
ABC.BR 	Cidades 	        Região ABC Paulista
AJU.BR 	Cidades 	        Aracaju
ANANI.BR 	Cidades 	Ananindeua
APARECIDA.BR 	Cidades 	Aparecida
BARUERI.BR 	Cidades 	Barueri
BELEM.BR 	Cidades 	Belém
BHZ.BR 	Cidades 	Belo Horizonte
BOAVISTA.BR 	Cidades 	Boa Vista
BSB.BR 	Cidades 	Brasília
CAMPINAGRANDE.BR 	Cidades 	Campina Grande
CAMPINAS.BR 	Cidades 	Campinas
CAXIAS.BR 	Cidades 	Caxias
CONTAGEM.BR 	Cidades 	Contagem
CUIABA.BR 	Cidades 	Cuiabá
CURITIBA.BR 	Cidades 	Curitiba
FEIRA.BR 	Cidades 	Feira de Santana
FLORIPA.BR 	Cidades 	Florianópolis
FORTAL.BR 	Cidades 	Fortaleza
FOZ.BR 	Cidades 	Foz do Iguaçu
GOIANIA.BR 	Cidades 	Goiânia
GRU.BR 	Cidades 	Guarulhos
JAB.BR 	Cidades 	Jaboatão dos Guararapes
JAMPA.BR 	Cidades 	João Pessoa
JDF.BR 	Cidades 	Juiz de Fora
JOINVILLE.BR 	Cidades 	Joinville
LONDRINA.BR 	Cidades 	Londrina
MACAPA.BR 	Cidades 	Macapá
MACEIO.BR 	Cidades 	Maceió
MANAUS.BR 	Cidades 	Manaus
MARINGA.BR 	Cidades 	Maringá
MORENA.BR 	Cidades 	Campo Grande
NATAL.BR 	Cidades 	Natal
NITEROI.BR 	Cidades 	Niterói
OSASCO.BR 	Cidades 	Osasco
PALMAS.BR 	Cidades 	Palmas
POA.BR 	Cidades 	Porto Alegre
PVH.BR 	Cidades 	Porto Velho
RECIFE.BR 	Cidades 	Recife
RIBEIRAO.BR 	Cidades 	Ribeirão
RIO.BR 	Cidades 	Rio de Janeiro
RIOBRANCO.BR 	Cidades 	Rio Branco
RIOPRETO.BR 	Cidades 	São José do Rio Preto
SALVADOR.BR 	Cidades 	Salvador
SAMPA.BR 	Cidades 	São Paulo
SANTAMARIA.BR 	Cidades 	Santa Maria
SANTOANDRE.BR 	Cidades 	Santo André
SAOBERNARDO.BR 	Cidades 	São Bernardo do Campo
SAOGONCA.BR 	Cidades 	São Gonçalo
SJC.BR 	Cidades 	São José dos Campos
SLZ.BR 	Cidades 	São Luis
SOROCABA.BR 	Cidades 	Sorocaba
THE.BR 	Cidades 	Teresina
UDI.BR 	Cidades 	Uberlândia
VIX.BR 	Cidades 	Vitória
########## 	Pessoas Jurídicas 	SEM RESTRIÇÃO
AGR.BR 	Pessoas Jurídicas 	Empresas agrícolas, fazendas
ESP.BR 	Pessoas Jurídicas 	Esporte em geral
ETC.BR 	Pessoas Jurídicas 	Empresas que não se enquadram nas outras categorias
FAR.BR 	Pessoas Jurídicas 	Farmácias e drogarias
IMB.BR 	Pessoas Jurídicas 	Imobiliárias
IND.BR 	Pessoas Jurídicas 	Indústrias
INF.BR 	Pessoas Jurídicas 	Meios de informação (rádios, jornais, bibliotecas, etc..)
RADIO.BR 	Pessoas Jurídicas 	Empresas que queiram enviar áudio pela rede
REC.BR 	Pessoas Jurídicas 	Atividades de entretenimento, diversão, jogos, etc...
SRV.BR 	Pessoas Jurídicas 	Empresas prestadoras de serviços
TMP.BR 	Pessoas Jurídicas 	Eventos temporários, como feiras e exposições
TUR.BR 	Pessoas Jurídicas 	Empresas da área de turismo
TV.BR 	Pessoas Jurídicas 	Empresas de radiodifusão ou transmissão via Internet de sons e imagens
########## 	Pessoas Jurídicas 	COM RESTRIÇÃO
AM.BR 	Pessoas Jurídicas 	Empresas de radiodifusão sonora
COOP.BR 	Pessoas Jurídicas 	Cooperativas
FM.BR 	Pessoas Jurídicas 	Empresas de radiodifusão sonora
G12.BR 	Pessoas Jurídicas 	Instituições de ensino de primeiro e segundo grau
GOV.BR 	Pessoas Jurídicas 	Instituições do governo federal
MIL.BR 	Pessoas Jurídicas 	Forças Armadas Brasileiras
ORG.BR 	Pessoas Jurídicas 	Instituições não governamentais sem fins lucrativos
PSI.BR 	Pessoas Jurídicas 	Provedores de serviço Internet
